shrid2,park_status10,park_status20,park_status30
11-01-001-00001-000002,control,contaminator,contaminator
11-01-001-00001-000005,control,contaminator,contaminator
11-01-001-00001-000006,contaminator,contaminator,contaminator
11-01-001-00001-000007,contaminator,contaminator,contaminator
11-01-001-00001-000008,contaminator,contaminator,contaminator
11-01-001-00001-000009,contaminator,contaminator,contaminator
11-01-001-00001-000010,contaminator,contaminator,contaminator
11-01-001-00001-000011,contaminator,contaminator,contaminator
11-01-001-00001-000012,treated,treated,treated
11-01-001-00001-000013,contaminator,contaminator,contaminator
11-01-001-00001-000014,contaminator,contaminator,contaminator
11-01-001-00001-000015,contaminator,contaminator,contaminator
11-01-001-00001-000016,contaminator,contaminator,contaminator
11-01-001-00001-000017,contaminator,contaminator,contaminator
11-01-001-00001-000018,contaminator,contaminator,contaminator
11-01-001-00001-000019,contaminator,contaminator,contaminator
11-01-001-00001-000020,treated,treated,treated
11-01-001-00001-000021,contaminator,contaminator,contaminator
11-01-001-00001-000022,contaminator,contaminator,contaminator
11-01-001-00001-000023,contaminator,contaminator,contaminator
11-01-001-00001-000024,contaminator,contaminator,contaminator
11-01-001-00001-000025,contaminator,contaminator,contaminator
11-01-001-00001-000026,contaminator,contaminator,contaminator
11-01-001-00001-000027,contaminator,contaminator,contaminator
11-01-001-00001-000028,contaminator,contaminator,contaminator
11-01-001-00001-000029,contaminator,contaminator,contaminator
11-01-001-00001-000030,contaminator,contaminator,contaminator
11-01-001-00001-000031,contaminator,contaminator,contaminator
11-01-001-00001-000032,contaminator,contaminator,contaminator
11-01-001-00001-000033,contaminator,contaminator,contaminator
11-01-001-00001-000034,contaminator,contaminator,contaminator
11-01-001-00001-000035,contaminator,contaminator,contaminator
11-01-001-00001-000036,contaminator,contaminator,contaminator
11-01-001-00001-000037,contaminator,contaminator,contaminator
11-01-001-00001-000038,contaminator,contaminator,contaminator
11-01-001-00001-000039,contaminator,contaminator,contaminator
11-01-001-00001-000040,contaminator,contaminator,contaminator
11-01-001-00001-000041,contaminator,contaminator,contaminator
11-01-001-00001-000042,contaminator,contaminator,contaminator
11-01-001-00001-000043,contaminator,contaminator,contaminator
11-01-001-00001-000044,contaminator,contaminator,contaminator
11-01-001-00001-000045,contaminator,contaminator,contaminator
11-01-001-00001-000046,contaminator,contaminator,contaminator
11-01-001-00001-000047,treated,treated,treated
11-01-001-00001-000048,contaminator,contaminator,contaminator
11-01-001-00001-000049,contaminator,contaminator,contaminator
11-01-001-00001-000050,contaminator,contaminator,contaminator
11-01-001-00001-000051,contaminator,contaminator,contaminator
11-01-001-00001-000052,contaminator,contaminator,contaminator
11-01-001-00001-000053,contaminator,contaminator,contaminator
11-01-001-00001-000054,treated,treated,treated
11-01-001-00001-000055,contaminator,contaminator,contaminator
11-01-001-00001-000056,contaminator,contaminator,contaminator
11-01-001-00001-000057,contaminator,contaminator,contaminator
11-01-001-00001-000058,treated,treated,treated
11-01-001-00001-000059,contaminator,contaminator,contaminator
11-01-001-00001-000060,contaminator,contaminator,contaminator
11-01-001-00001-000061,contaminator,contaminator,contaminator
11-01-001-00001-000062,contaminator,contaminator,contaminator
11-01-001-00001-000063,contaminator,contaminator,contaminator
11-01-001-00001-000064,contaminator,contaminator,contaminator
11-01-001-00001-000065,contaminator,contaminator,contaminator
11-01-001-00001-000066,contaminator,contaminator,contaminator
11-01-001-00001-000067,contaminator,contaminator,contaminator
11-01-001-00001-000068,treated,treated,treated
11-01-001-00001-000069,contaminator,contaminator,contaminator
11-01-001-00001-000070,contaminator,contaminator,contaminator
11-01-001-00001-000071,contaminator,contaminator,contaminator
11-01-001-00001-000072,contaminator,contaminator,contaminator
11-01-001-00001-000073,contaminator,contaminator,contaminator
11-01-001-00001-000074,contaminator,contaminator,contaminator
11-01-001-00001-000075,contaminator,contaminator,contaminator
11-01-001-00001-000076,contaminator,contaminator,contaminator
11-01-001-00001-000077,contaminator,contaminator,contaminator
11-01-001-00001-000078,contaminator,contaminator,contaminator
11-01-001-00001-000079,contaminator,contaminator,contaminator
11-01-001-00001-000080,contaminator,contaminator,contaminator
11-01-001-00001-000081,contaminator,contaminator,contaminator
11-01-001-00001-000082,contaminator,contaminator,contaminator
11-01-001-00001-000083,contaminator,contaminator,contaminator
11-01-001-00001-000084,contaminator,contaminator,contaminator
11-01-001-00001-000085,contaminator,contaminator,contaminator
11-01-001-00001-000086,control,contaminator,contaminator
11-01-001-00001-000087,control,contaminator,contaminator
11-01-001-00001-000088,control,contaminator,contaminator
11-01-001-00001-000089,control,contaminator,contaminator
11-01-001-00001-000090,contaminator,contaminator,contaminator
11-01-001-00001-000091,contaminator,contaminator,contaminator
11-01-001-00001-000092,contaminator,contaminator,contaminator
11-01-001-00001-000093,contaminator,contaminator,contaminator
11-01-001-00001-000094,contaminator,contaminator,contaminator
11-01-001-00001-000095,contaminator,contaminator,contaminator
11-01-001-00001-000096,contaminator,contaminator,contaminator
11-01-001-00001-000097,contaminator,contaminator,contaminator
11-01-001-00001-000098,contaminator,contaminator,contaminator
11-01-001-00001-000099,contaminator,contaminator,contaminator
11-01-001-00001-000100,contaminator,contaminator,contaminator
11-01-001-00001-000101,contaminator,contaminator,contaminator
11-01-001-00001-000102,contaminator,contaminator,contaminator
11-01-001-00001-000103,contaminator,contaminator,contaminator
11-01-001-00001-000104,contaminator,contaminator,contaminator
11-01-001-00001-000105,contaminator,contaminator,contaminator
11-01-001-00001-000106,contaminator,contaminator,contaminator
11-01-001-00001-000107,contaminator,contaminator,contaminator
11-01-001-00001-000108,contaminator,contaminator,contaminator
11-01-001-00001-000109,contaminator,contaminator,contaminator
11-01-001-00001-000110,contaminator,contaminator,contaminator
11-01-001-00001-000111,contaminator,contaminator,contaminator
11-01-001-00001-000112,contaminator,contaminator,contaminator
11-01-001-00001-000113,contaminator,contaminator,contaminator
11-01-001-00001-000114,contaminator,contaminator,contaminator
11-01-001-00001-000115,contaminator,contaminator,contaminator
11-01-001-00001-000116,contaminator,contaminator,contaminator
11-01-001-00001-000117,contaminator,contaminator,contaminator
11-01-001-00001-000118,contaminator,contaminator,contaminator
11-01-001-00001-000119,contaminator,contaminator,contaminator
11-01-001-00001-000120,contaminator,contaminator,contaminator
11-01-001-00001-000123,contaminator,contaminator,contaminator
11-01-001-00001-000124,contaminator,contaminator,contaminator
11-01-001-00001-000125,contaminator,contaminator,contaminator
11-01-001-00001-000126,contaminator,contaminator,contaminator
11-01-001-00001-000127,contaminator,contaminator,contaminator
11-01-001-00001-000128,contaminator,contaminator,contaminator
11-01-001-00001-800001,contaminator,contaminator,contaminator
11-01-001-00002-000129,contaminator,contaminator,contaminator
11-01-001-00002-000130,contaminator,contaminator,contaminator
11-01-001-00002-000131,contaminator,contaminator,contaminator
11-01-001-00002-000132,contaminator,contaminator,contaminator
11-01-001-00002-000133,contaminator,contaminator,contaminator
11-01-001-00002-000134,contaminator,contaminator,contaminator
